,location,signal
158,157,NA
159,158,NA
160,159,NA
161,160,NA
162,161,NA
163,162,NA
164,163,NA
165,164,NA
166,165,NA
167,166,NA
168,167,NA
169,168,NA
170,169,NA
171,170,NA
172,171,NA
173,172,NA
174,173,NA
175,174,NA
176,175,NA
177,176,NA
178,177,NA
179,178,NA
180,179,NA
181,180,NA
182,181,NA
183,182,NA
184,183,NA
185,184,NA
186,185,NA
187,186,NA
188,187,NA
189,188,NA
190,189,NA
191,190,NA
192,191,NA
193,192,NA
194,193,NA
195,194,NA
196,195,NA
197,196,NA
198,197,NA
199,198,NA
200,199,NA
201,200,NA
202,201,NA
203,202,NA
204,203,NA
205,204,NA
206,205,NA
207,206,NA
208,207,NA
209,208,NA
210,209,NA
211,210,NA
212,211,NA
213,212,NA
214,213,NA
215,214,NA
216,215,NA
217,216,NA
218,217,NA
219,218,NA
220,219,NA
221,220,NA
222,221,NA
223,222,NA
224,223,NA
225,224,NA
226,225,NA
227,226,NA
228,227,NA
229,228,NA
230,229,NA
231,230,NA
232,231,NA
233,232,NA
234,233,NA
235,234,NA
236,235,NA
237,236,NA
238,237,NA
239,238,NA
240,239,NA
241,240,NA
242,241,NA
243,242,NA
244,243,NA
245,244,NA
246,245,NA
247,246,NA
248,247,NA
249,248,NA
250,249,NA
251,250,NA
252,251,NA
253,252,NA
254,253,NA
255,254,NA
256,255,NA
257,256,NA
258,257,NA
259,258,NA
260,259,NA
261,260,NA
262,261,NA
263,262,NA
264,263,NA
265,264,NA
266,265,NA
267,266,NA
268,267,NA
269,268,NA
270,269,NA
271,270,NA
272,271,NA
273,272,NA
274,273,NA
275,274,NA
276,275,NA
277,276,NA
278,277,NA
279,278,NA
280,279,NA
281,280,NA
282,281,NA
283,282,NA
284,283,NA
285,284,NA
286,285,NA
287,286,NA
288,287,NA
289,288,NA
290,289,NA
291,290,NA
292,291,NA
293,292,NA
294,293,NA
295,294,NA
296,295,NA
297,296,NA
298,297,NA
299,298,NA
300,299,NA
301,300,NA
302,301,NA
303,302,NA
304,303,NA
305,304,NA
306,305,NA
307,306,NA
308,307,NA
309,308,NA
310,309,NA
311,310,NA
312,311,NA
313,312,NA
314,313,NA
315,314,NA
316,315,NA
317,316,NA
318,317,NA
319,318,NA
320,319,NA
321,320,NA
322,321,NA
323,322,NA
324,323,NA
325,324,NA
326,325,NA
327,326,NA
328,327,NA
329,328,NA
330,329,NA
331,330,NA
332,331,NA
333,332,NA
334,333,NA
335,334,NA
336,335,NA
337,336,NA
338,337,NA
339,338,NA
340,339,NA
341,340,NA
342,341,NA
343,342,NA
344,343,NA
345,344,NA
346,345,NA
347,346,NA
348,347,NA
349,348,NA
350,349,NA
351,350,NA
352,351,NA
353,352,NA
354,353,NA
355,354,NA
356,355,NA
357,356,NA
358,357,NA
359,358,NA
360,359,NA
361,360,NA
362,361,NA
363,362,NA
364,363,NA
365,364,NA
366,365,NA
367,366,NA
368,367,NA
369,368,NA
370,369,NA
371,370,NA
372,371,NA
373,372,NA
374,373,NA
375,374,NA
376,375,NA
377,376,NA
378,377,NA
379,378,NA
380,379,NA
381,380,NA
382,381,NA
383,382,NA
384,383,NA
385,384,NA
386,385,NA
387,386,NA
388,387,NA
389,388,NA
390,389,NA
391,390,NA
392,391,NA
393,392,NA
394,393,NA
395,394,NA
396,395,NA
397,396,NA
398,397,NA
399,398,NA
400,399,NA
401,400,NA
402,401,NA
403,402,NA
404,403,NA
405,404,NA
406,405,NA
407,406,NA
408,407,NA
409,408,NA
410,409,NA
411,410,NA
412,411,NA
413,412,NA
414,413,NA
415,414,NA
416,415,NA
417,416,NA
418,417,NA
419,418,NA
420,419,NA
421,420,NA
422,421,NA
423,422,NA
424,423,NA
425,424,NA
426,425,NA
427,426,NA
428,427,NA
429,428,NA
430,429,NA
431,430,NA
432,431,NA
433,432,NA
434,433,NA
435,434,NA
436,435,NA
437,436,NA
438,437,NA
439,438,NA
440,439,NA
441,440,NA
442,441,NA
443,442,NA
444,443,NA
445,444,NA
446,445,NA
447,446,NA
448,447,NA
449,448,NA
450,449,NA
451,450,NA
452,451,NA
453,452,NA
454,453,NA
455,454,NA
456,455,NA
457,456,NA
458,457,NA
459,458,NA
460,459,NA
461,460,NA
462,461,NA
463,462,NA
464,463,NA
465,464,NA
466,465,NA
467,466,NA
468,467,NA
469,468,NA
470,469,NA
471,470,NA
472,471,NA
473,472,NA
474,473,NA
475,474,NA
476,475,NA
477,476,NA
478,477,NA
479,478,NA
480,479,NA
481,480,NA
482,481,NA
483,482,NA
484,483,NA
485,484,NA
486,485,NA
487,486,NA
488,487,NA
489,488,NA
490,489,NA
491,490,NA
492,491,NA
493,492,NA
494,493,NA
495,494,NA
496,495,NA
497,496,NA
498,497,NA
499,498,NA
500,499,NA
501,500,NA
502,501,NA
503,502,NA
504,503,NA
505,504,NA
506,505,NA
507,506,NA
508,507,NA
509,508,NA
510,509,NA
511,510,NA
512,511,NA
513,512,NA
514,513,NA
515,514,NA
516,515,NA
517,516,NA
518,517,NA
519,518,NA
520,519,NA
521,520,NA
522,521,NA
523,522,NA
524,523,NA
525,524,NA
526,525,NA
527,526,NA
528,527,NA
529,528,NA
530,529,NA
531,530,NA
532,531,NA
533,532,NA
534,533,NA
535,534,NA
536,535,NA
537,536,NA
538,537,NA
539,538,NA
540,539,NA
541,540,NA
542,541,NA
543,542,NA
544,543,NA
545,544,NA
546,545,NA
547,546,NA
548,547,NA
549,548,NA
550,549,NA
551,550,NA
552,551,NA
553,552,NA
554,553,NA
555,554,NA
556,555,NA
557,556,NA
558,557,NA
559,558,NA
560,559,NA
561,560,NA
562,561,NA
563,562,NA
564,563,NA
565,564,NA
566,565,NA
567,566,NA
568,567,NA
569,568,NA
570,569,NA
571,570,NA
572,571,NA
573,572,NA
574,573,NA
575,574,NA
576,575,NA
577,576,NA
578,577,NA
579,578,NA
580,579,NA
581,580,NA
582,581,NA
583,582,NA
584,583,NA
585,584,NA
586,585,NA
587,586,NA
588,587,NA
589,588,NA
590,589,NA
591,590,NA
592,591,NA
593,592,NA
594,593,NA
595,594,NA
596,595,NA
597,596,NA
598,597,NA
599,598,NA
600,599,NA
601,600,NA
602,601,NA
603,602,NA
604,603,NA
605,604,NA
606,605,NA
607,606,NA
608,607,NA
609,608,NA
610,609,NA
611,610,NA
612,611,NA
613,612,NA
614,613,NA
615,614,NA
616,615,NA
617,616,NA
618,617,NA
619,618,NA
620,619,NA
621,620,NA
622,621,NA
623,622,NA
624,623,NA
625,624,NA
626,625,NA
627,626,NA
628,627,NA
629,628,NA
630,629,NA
631,630,NA
632,631,NA
633,632,NA
634,633,NA
635,634,NA
636,635,NA
637,636,NA
638,637,NA
639,638,NA
640,639,NA
641,640,NA
642,641,NA
643,642,NA
644,643,NA
645,644,NA
646,645,NA
647,646,NA
648,647,NA
649,648,NA
650,649,NA
651,650,NA
652,651,NA
653,652,NA
654,653,NA
655,654,NA
656,655,NA
657,656,NA
658,657,NA
659,658,NA
660,659,NA
661,660,NA
662,661,NA
663,662,NA
664,663,NA
665,664,NA
666,665,NA
667,666,NA
668,667,NA
669,668,NA
670,669,NA
671,670,NA
672,671,NA
673,672,NA
674,673,NA
675,674,NA
676,675,NA
677,676,NA
678,677,NA
679,678,NA
680,679,NA
681,680,NA
682,681,NA
683,682,NA
684,683,NA
685,684,NA
686,685,NA
687,686,NA
688,687,NA
689,688,NA
690,689,NA
691,690,NA
692,691,NA
693,692,NA
694,693,NA
695,694,NA
696,695,NA
697,696,NA
698,697,NA
699,698,NA
700,699,NA
701,700,NA
702,701,NA
703,702,NA
704,703,NA
705,704,NA
706,705,NA
707,706,NA
708,707,NA
709,708,NA
710,709,NA
711,710,NA
712,711,NA
713,712,NA
714,713,NA
715,714,NA
716,715,NA
717,716,NA
718,717,NA
719,718,NA
720,719,NA
721,720,NA
722,721,NA
723,722,NA
724,723,NA
725,724,NA
726,725,NA
727,726,NA
728,727,NA
729,728,NA
730,729,NA
731,730,NA
732,731,NA
733,732,NA
734,733,NA
735,734,NA
736,735,NA
737,736,NA
738,737,NA
739,738,NA
740,739,NA
741,740,NA
742,741,NA
743,742,NA
744,743,NA
745,744,NA
746,745,NA
747,746,NA
748,747,NA
749,748,NA
750,749,NA
751,750,NA
752,751,NA
753,752,NA
754,753,NA
755,754,NA
756,755,NA
757,756,NA
758,757,NA
759,758,NA
760,759,NA
761,760,NA
762,761,NA
763,762,NA
764,763,NA
765,764,NA
766,765,NA
767,766,NA
768,767,NA
769,768,NA
770,769,NA
771,770,NA
772,771,NA
773,772,NA
774,773,NA
775,774,NA
776,775,NA
777,776,NA
778,777,NA
779,778,NA
780,779,NA
781,780,NA
782,781,NA
783,782,NA
784,783,NA
785,784,NA
786,785,NA
787,786,NA
788,787,NA
789,788,NA
790,789,NA
791,790,NA
792,791,NA
793,792,NA
794,793,NA
795,794,NA
796,795,NA
797,796,NA
798,797,NA
799,798,NA
800,799,NA
801,800,NA
802,801,NA
803,802,NA
804,803,NA
805,804,NA
806,805,NA
807,806,NA
808,807,NA
809,808,NA
810,809,NA
811,810,NA
812,811,NA
813,812,NA
814,813,NA
815,814,NA
816,815,NA
817,816,NA
818,817,NA
819,818,NA
820,819,NA
821,820,NA
822,821,NA
823,822,NA
824,823,NA
825,824,NA
826,825,NA
827,826,NA
828,827,NA
829,828,NA
830,829,NA
831,830,NA
832,831,NA
833,832,NA
834,833,NA
835,834,NA
836,835,NA
837,836,NA
838,837,NA
839,838,NA
840,839,NA
841,840,NA
842,841,NA
843,842,NA
844,843,NA
845,844,NA
846,845,NA
847,846,NA
848,847,NA
849,848,NA
850,849,NA
851,850,NA
852,851,NA
853,852,NA
854,853,NA
855,854,NA
856,855,NA
857,856,NA
858,857,NA
859,858,NA
860,859,NA
861,860,NA
862,861,NA
863,862,NA
864,863,NA
865,864,NA
866,865,NA
867,866,NA
868,867,NA
869,868,NA
870,869,NA
871,870,NA
872,871,NA
873,872,NA
874,873,NA
875,874,NA
876,875,NA
877,876,NA
878,877,NA
879,878,NA
880,879,NA
881,880,NA
882,881,NA
883,882,NA
884,883,NA
885,884,NA
886,885,NA
887,886,NA
888,887,NA
889,888,NA
890,889,NA
891,890,NA
892,891,NA
893,892,NA
894,893,NA
895,894,NA
896,895,NA
897,896,NA
898,897,NA
899,898,NA
900,899,NA
901,900,NA
902,901,NA
903,902,NA
904,903,NA
905,904,NA
906,905,NA
907,906,NA
908,907,NA
909,908,NA
910,909,NA
911,910,NA
912,911,NA
913,912,NA
914,913,NA
915,914,NA
916,915,NA
917,916,NA
918,917,NA
919,918,NA
920,919,NA
921,920,NA
922,921,NA
923,922,NA
924,923,NA
925,924,NA
926,925,NA
927,926,NA
928,927,NA
929,928,NA
930,929,NA
931,930,NA
932,931,NA
933,932,NA
934,933,NA
935,934,NA
936,935,NA
937,936,NA
938,937,NA
939,938,NA
940,939,NA
941,940,NA
942,941,NA
943,942,NA
944,943,NA
945,944,NA
946,945,NA
947,946,NA
948,947,NA
949,948,NA
950,949,NA
951,950,NA
952,951,NA
953,952,NA
954,953,NA
955,954,NA
956,955,NA
957,956,NA
958,957,NA
959,958,NA
960,959,NA
961,960,NA
962,961,NA
963,962,NA
964,963,NA
965,964,NA
966,965,NA
967,966,NA
968,967,NA
969,968,NA
970,969,NA
971,970,NA
972,971,NA
973,972,NA
974,973,NA
975,974,NA
976,975,NA
977,976,NA
978,977,NA
979,978,NA
980,979,NA
981,980,NA
982,981,NA
983,982,NA
984,983,NA
985,984,NA
986,985,NA
987,986,NA
988,987,NA
989,988,NA
990,989,NA
991,990,NA
992,991,NA
993,992,NA
994,993,NA
995,994,NA
996,995,NA
997,996,NA
998,997,NA
999,998,NA
1000,999,NA
1001,1000,NA
1002,1001,NA
1003,1002,NA
1004,1003,NA
1005,1004,NA
1006,1005,NA
1007,1006,NA
1008,1007,NA
1009,1008,NA
1010,1009,NA
1011,1010,NA
1012,1011,NA
1013,1012,NA
1014,1013,NA
1015,1014,NA
1016,1015,NA
1017,1016,NA
1018,1017,NA
1019,1018,NA
1020,1019,NA
1021,1020,NA
1022,1021,NA
1023,1022,NA
1024,1023,NA
1025,1024,NA
1026,1025,NA
1027,1026,NA
1028,1027,NA
1029,1028,NA
1030,1029,NA
1031,1030,NA
1032,1031,NA
1033,1032,NA
1034,1033,NA
1035,1034,NA
1036,1035,NA
1037,1036,NA
1038,1037,NA
1039,1038,NA
1040,1039,NA
1041,1040,NA
1042,1041,NA
1043,1042,NA
1044,1043,NA
1045,1044,NA
1046,1045,NA
1047,1046,NA
1048,1047,NA
1049,1048,NA
1050,1049,NA
1051,1050,NA
1052,1051,NA
1053,1052,NA
1054,1053,NA
1055,1054,NA
1056,1055,NA
1057,1056,NA
1058,1057,NA
1059,1058,NA
1060,1059,NA
1061,1060,NA
1062,1061,NA
1063,1062,NA
1064,1063,NA
1065,1064,NA
1066,1065,NA
1067,1066,NA
1068,1067,NA
1069,1068,NA
1070,1069,NA
1071,1070,NA
1072,1071,NA
1073,1072,NA
1074,1073,NA
1075,1074,NA
1076,1075,NA
1077,1076,NA
1078,1077,NA
1079,1078,NA
1080,1079,NA
1081,1080,NA
1082,1081,NA
1083,1082,NA
1084,1083,NA
1085,1084,NA
1086,1085,NA
1087,1086,NA
1088,1087,NA
1089,1088,NA
1090,1089,NA
1091,1090,NA
1092,1091,NA
1093,1092,NA
1094,1093,NA
1095,1094,NA
1096,1095,NA
1097,1096,NA
1098,1097,NA
1099,1098,NA
1100,1099,NA
1101,1100,NA
1102,1101,NA
1103,1102,NA
1104,1103,NA
1105,1104,NA
1106,1105,NA
1107,1106,NA
1108,1107,NA
1109,1108,NA
1110,1109,NA
1111,1110,NA
1112,1111,NA
1113,1112,NA
1114,1113,NA
1115,1114,NA
1116,1115,NA
1117,1116,NA
1118,1117,NA
1119,1118,NA
1120,1119,NA
1121,1120,NA
1122,1121,NA
1123,1122,NA
1124,1123,NA
1125,1124,NA
1126,1125,NA
1127,1126,NA
1128,1127,NA
1129,1128,NA
1130,1129,NA
1131,1130,NA
1132,1131,NA
1133,1132,NA
1134,1133,NA
1135,1134,NA
1136,1135,NA
1137,1136,NA
1138,1137,NA
1139,1138,NA
1140,1139,NA
1141,1140,NA
1142,1141,NA
1143,1142,NA
1144,1143,NA
1145,1144,NA
1146,1145,NA
1147,1146,NA
1148,1147,NA
1149,1148,NA
1150,1149,NA
1151,1150,NA
1152,1151,NA
1153,1152,NA
1154,1153,NA
1155,1154,NA
1156,1155,NA
1157,1156,NA
1158,1157,NA
1159,1158,NA
1160,1159,NA
1161,1160,NA
1162,1161,NA
1163,1162,NA
1164,1163,NA
1165,1164,NA
1166,1165,NA
1167,1166,NA
1168,1167,NA
1169,1168,NA
1170,1169,NA
1171,1170,NA
1172,1171,NA
1173,1172,NA
1174,1173,NA
1175,1174,NA
1176,1175,NA
1177,1176,NA
1178,1177,NA
1179,1178,NA
1180,1179,NA
1181,1180,NA
1182,1181,NA
1183,1182,NA
1184,1183,NA
1185,1184,NA
1186,1185,NA
1187,1186,NA
1188,1187,NA
1189,1188,NA
1190,1189,NA
1191,1190,NA
1192,1191,NA
1193,1192,NA
1194,1193,NA
1195,1194,NA
1196,1195,NA
1197,1196,NA
1198,1197,NA
1199,1198,NA
1200,1199,NA
1201,1200,NA
1202,1201,NA
1203,1202,NA
1204,1203,NA
1205,1204,NA
1206,1205,NA
1207,1206,NA
1208,1207,NA
1209,1208,NA
1210,1209,NA
1211,1210,NA
1212,1211,NA
1213,1212,NA
1214,1213,NA
1215,1214,NA
1216,1215,NA
1217,1216,NA
1218,1217,NA
1219,1218,NA
1220,1219,NA
1221,1220,NA
1222,1221,NA
1223,1222,NA
1224,1223,NA
1225,1224,NA
1226,1225,NA
1227,1226,NA
1228,1227,NA
1229,1228,NA
1230,1229,NA
1231,1230,NA
1232,1231,NA
1233,1232,NA
1234,1233,NA
1235,1234,NA
1236,1235,NA
1237,1236,NA
1238,1237,NA
1239,1238,NA
1240,1239,NA
1241,1240,NA
1242,1241,NA
1243,1242,NA
1244,1243,NA
1245,1244,NA
1246,1245,NA
1247,1246,NA
1248,1247,NA
1249,1248,NA
1250,1249,NA
1251,1250,NA
1252,1251,NA
1253,1252,NA
1254,1253,NA
1255,1254,NA
1256,1255,NA
1257,1256,NA
1258,1257,NA
1259,1258,NA
1260,1259,NA
1261,1260,NA
1262,1261,NA
1263,1262,NA
1264,1263,NA
1265,1264,NA
1266,1265,NA
1267,1266,NA
1268,1267,NA
1269,1268,NA
1270,1269,NA
1271,1270,NA
1272,1271,NA
1273,1272,NA
1274,1273,NA
1275,1274,NA
1276,1275,NA
1277,1276,NA
1278,1277,NA
1279,1278,NA
1280,1279,NA
1281,1280,NA
1282,1281,NA
1283,1282,NA
1284,1283,NA
1285,1284,NA
1286,1285,NA
1287,1286,NA
1288,1287,NA
1289,1288,NA
1290,1289,NA
1291,1290,NA
1292,1291,NA
1293,1292,NA
1294,1293,NA
1295,1294,NA
1296,1295,NA
1297,1296,NA
1298,1297,NA
1299,1298,NA
1300,1299,NA
1301,1300,NA
1302,1301,NA
1303,1302,NA
1304,1303,NA
1305,1304,NA
1306,1305,NA
1307,1306,NA
1308,1307,NA
1309,1308,NA
1310,1309,NA
1311,1310,NA
1312,1311,NA
1313,1312,NA
1314,1313,NA
1315,1314,NA
1316,1315,NA
1317,1316,NA
1318,1317,NA
1319,1318,NA
1320,1319,NA
1321,1320,NA
1322,1321,NA
1323,1322,NA
1324,1323,NA
1325,1324,NA
1326,1325,NA
1327,1326,NA
1328,1327,NA
1329,1328,NA
1330,1329,NA
1331,1330,NA
1332,1331,NA
1333,1332,NA
1334,1333,NA
1335,1334,NA
1336,1335,NA
1337,1336,NA
1338,1337,NA
1339,1338,NA
1340,1339,NA
1341,1340,NA
1342,1341,NA
1343,1342,NA
1344,1343,NA
1345,1344,NA
1346,1345,NA
1347,1346,NA
1348,1347,NA
1349,1348,NA
1350,1349,NA
1351,1350,NA
1352,1351,NA
1353,1352,NA
1354,1353,NA
1355,1354,NA
1356,1355,NA
1357,1356,NA
1358,1357,NA
1359,1358,NA
1360,1359,NA
1361,1360,NA
1362,1361,NA
1363,1362,NA
1364,1363,NA
1365,1364,NA
1366,1365,NA
1367,1366,NA
1368,1367,NA
1369,1368,NA
1370,1369,NA
1371,1370,NA
1372,1371,NA
1373,1372,NA
1374,1373,NA
1375,1374,NA
1376,1375,NA
1377,1376,NA
1378,1377,NA
1379,1378,NA
1380,1379,NA
1381,1380,NA
1382,1381,NA
1383,1382,NA
1384,1383,NA
1385,1384,NA
1386,1385,NA
1387,1386,NA
1388,1387,NA
1389,1388,NA
1390,1389,NA
1391,1390,NA
1392,1391,NA
1393,1392,NA
1394,1393,NA
1395,1394,NA
1396,1395,NA
1397,1396,NA
1398,1397,NA
1399,1398,NA
1400,1399,NA
1401,1400,NA
1402,1401,NA
1403,1402,NA
1404,1403,NA
1405,1404,NA
1406,1405,NA
1407,1406,NA
1408,1407,NA
1409,1408,NA
1410,1409,NA
1411,1410,NA
1412,1411,NA
1413,1412,NA
1414,1413,NA
1415,1414,NA
1416,1415,NA
1417,1416,NA
1418,1417,NA
1419,1418,NA
1420,1419,NA
1421,1420,NA
1422,1421,NA
1423,1422,NA
1424,1423,NA
1425,1424,NA
1426,1425,NA
1427,1426,NA
1428,1427,NA
1429,1428,NA
1430,1429,NA
1431,1430,NA
1432,1431,NA
1433,1432,NA
1434,1433,NA
1435,1434,NA
1436,1435,NA
1437,1436,NA
1438,1437,NA
1439,1438,NA
1440,1439,NA
1441,1440,NA
1442,1441,NA
1443,1442,NA
1444,1443,NA
1445,1444,NA
1446,1445,NA
1447,1446,NA
1448,1447,NA
1449,1448,NA
1450,1449,NA
1451,1450,NA
1452,1451,NA
1453,1452,NA
1454,1453,NA
1455,1454,NA
1456,1455,NA
1457,1456,NA
1458,1457,NA
1459,1458,NA
1460,1459,NA
1461,1460,NA
1462,1461,NA
1463,1462,NA
1464,1463,NA
1465,1464,NA
1466,1465,NA
1467,1466,NA
1468,1467,NA
1469,1468,NA
1470,1469,NA
1471,1470,NA
1472,1471,NA
1473,1472,NA
1474,1473,NA
1475,1474,NA
1476,1475,NA
1477,1476,NA
1478,1477,NA
1479,1478,NA
1480,1479,NA
1481,1480,NA
1482,1481,NA
1483,1482,NA
1484,1483,NA
1485,1484,NA
1486,1485,NA
1487,1486,NA
1488,1487,NA
1489,1488,NA
1490,1489,NA
1491,1490,NA
1492,1491,NA
1493,1492,NA
1494,1493,NA
1495,1494,NA
1496,1495,NA
1497,1496,NA
1498,1497,NA
1499,1498,NA
1500,1499,NA
1501,1500,NA
1502,1501,NA
1503,1502,NA
1504,1503,NA
1505,1504,NA
1506,1505,NA
1507,1506,NA
1508,1507,NA
1509,1508,NA
1510,1509,NA
1511,1510,NA
1512,1511,NA
1513,1512,NA
1514,1513,NA
1515,1514,NA
1516,1515,NA
1517,1516,NA
1518,1517,NA
1519,1518,NA
1520,1519,NA
1521,1520,NA
1522,1521,NA
1523,1522,NA
1524,1523,NA
1525,1524,NA
1526,1525,NA
1527,1526,NA
1528,1527,NA
1529,1528,NA
1530,1529,NA
1531,1530,NA
1532,1531,NA
1533,1532,NA
1534,1533,NA
1535,1534,NA
1536,1535,NA
1537,1536,NA
1538,1537,NA
1539,1538,NA
1540,1539,NA
1541,1540,NA
1542,1541,NA
1543,1542,NA
1544,1543,NA
1545,1544,NA
1546,1545,NA
1547,1546,NA
1548,1547,NA
1549,1548,NA
1550,1549,NA
1551,1550,NA
1552,1551,NA
1553,1552,NA
1554,1553,NA
1555,1554,NA
1556,1555,NA
1557,1556,NA
1558,1557,NA
1559,1558,NA
1560,1559,NA
1561,1560,NA
1562,1561,NA
1563,1562,NA
1564,1563,NA
1565,1564,NA
1566,1565,NA
1567,1566,NA
1568,1567,NA
1569,1568,NA
1570,1569,NA
1571,1570,NA
1572,1571,NA
1573,1572,NA
1574,1573,NA
1575,1574,NA
1576,1575,NA
1577,1576,NA
1578,1577,NA
1579,1578,NA
1580,1579,NA
1581,1580,NA
1582,1581,NA
1583,1582,NA
1584,1583,NA
1585,1584,NA
1586,1585,NA
1587,1586,NA
1588,1587,NA
1589,1588,NA
1590,1589,NA
1591,1590,NA
1592,1591,NA
1593,1592,NA
1594,1593,NA
1595,1594,NA
1596,1595,NA
1597,1596,NA
1598,1597,NA
1599,1598,NA
1600,1599,NA
1601,1600,NA
1602,1601,NA
1603,1602,NA
1604,1603,NA
1605,1604,NA
1606,1605,NA
1607,1606,NA
1608,1607,NA
1609,1608,NA
1610,1609,NA
1611,1610,NA
1612,1611,NA
1613,1612,NA
1614,1613,NA
1615,1614,NA
1616,1615,NA
1617,1616,NA
1618,1617,NA
1619,1618,NA
1620,1619,NA
1621,1620,NA
1622,1621,NA
1623,1622,NA
1624,1623,NA
1625,1624,NA
1626,1625,NA
1627,1626,NA
1628,1627,NA
1629,1628,NA
1630,1629,NA
1631,1630,NA
1632,1631,NA
1633,1632,NA
1634,1633,NA
1635,1634,NA
1636,1635,NA
1637,1636,NA
1638,1637,NA
1639,1638,NA
1640,1639,NA
1641,1640,NA
1642,1641,NA
1643,1642,NA
1644,1643,NA
1645,1644,NA
1646,1645,NA
1647,1646,NA
1648,1647,NA
1649,1648,NA
1650,1649,NA
1651,1650,NA
1652,1651,NA
1653,1652,NA
1654,1653,NA
1655,1654,NA
1656,1655,NA
1657,1656,NA
1658,1657,NA
1659,1658,NA
1660,1659,NA
1661,1660,NA
1662,1661,NA
1663,1662,NA
1664,1663,NA
1665,1664,NA
1666,1665,NA
1667,1666,NA
1668,1667,NA
1669,1668,NA
1670,1669,NA
1671,1670,NA
1672,1671,NA
1673,1672,NA
1674,1673,NA
1675,1674,NA
1676,1675,NA
1677,1676,NA
1678,1677,NA
1679,1678,NA
1680,1679,NA
1681,1680,NA
1682,1681,NA
1683,1682,NA
1684,1683,NA
1685,1684,NA
1686,1685,NA
1687,1686,NA
1688,1687,NA
1689,1688,NA
1690,1689,NA
1691,1690,NA
1692,1691,NA
1693,1692,NA
1694,1693,NA
1695,1694,NA
1696,1695,NA
1697,1696,NA
1698,1697,NA
1699,1698,NA
1700,1699,NA
1701,1700,NA
1702,1701,NA
1703,1702,NA
1704,1703,NA
1705,1704,NA
1706,1705,NA
1707,1706,NA
1708,1707,NA
1709,1708,NA
1710,1709,NA
1711,1710,NA
1712,1711,NA
1713,1712,NA
1714,1713,NA
1715,1714,NA
1716,1715,NA
1717,1716,NA
1718,1717,NA
1719,1718,NA
1720,1719,NA
1721,1720,NA
1722,1721,NA
1723,1722,NA
1724,1723,NA
1725,1724,NA
1726,1725,NA
1727,1726,NA
1728,1727,NA
1729,1728,NA
1730,1729,NA
1731,1730,NA
1732,1731,NA
1733,1732,NA
1734,1733,NA
1735,1734,NA
1736,1735,NA
1737,1736,NA
1738,1737,NA
1739,1738,NA
1740,1739,NA
1741,1740,NA
1742,1741,NA
1743,1742,NA
1744,1743,NA
1745,1744,NA
1746,1745,NA
1747,1746,NA
1748,1747,NA
1749,1748,NA
1750,1749,NA
1751,1750,NA
1752,1751,NA
1753,1752,NA
1754,1753,NA
1755,1754,NA
1756,1755,NA
1757,1756,NA
1758,1757,NA
1759,1758,NA
1760,1759,NA
1761,1760,NA
1762,1761,NA
1763,1762,NA
1764,1763,NA
1765,1764,NA
1766,1765,NA
1767,1766,NA
1768,1767,NA
1769,1768,NA
1770,1769,NA
1771,1770,NA
1772,1771,NA
1773,1772,NA
1774,1773,NA
1775,1774,NA
1776,1775,NA
